,Character,Lines,no_sentences,no_words
220,Dan,"['Nice to meet you.', ""Nah that's okay."", ""I'm just doing this to put myself through medical school."", 'Sure!', ""I'll get somebody to cover my shift."", 'Uh, bye Monica.', 'I see the head.', ""So, I'll call you tomorrow.""]",8,51
221,Hoshi,"['You are iron.', 'You are steel!', 'Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?', 'It', 'All right, on the table.', 'No!', 'No boom']",7,46
222,Policeman,"['Can I see your license please?', 'Your license?', 'That', 'Wow!', 'This is a great picture.', 'Yeah?', 'Well you look phenomenal.', 'Yes I am.', 'You', 'Nope.', 'Nope.', 'Nope.', 'Yep.', 'Well I tell you what', 'You', 'And you promise you', 'And in the meantime you better let him drive.', 'Does he have a license?', 'Can he handle the stick?', 'Do you know how fast you were traveling back there?', 'You', 'That', 'Your license please.', 'It']",24,89
223,Billy,"['Yeah, move over just a little bit.', 'What', 'How do you know?', 'Yeah.', 'Like when you go bowling and you know you', 'So it', 'Thomas, this is gonna be hard, but I wanted it to come from me, and nobody else.', 'It', 'Thomas, come back here!']",9,57
224,Max,"['No.', ""No, that's"", 'Daryl Hannah.', 'Hard quality.', 'Phoebe.', 'Hi.', 'No.', 'Have you seen David?', 'Well, if you see him, tell him to pack his bags.', 'We are going to Minsk.', 'Minsk.', ""It's in Russia."", 'We got the grant.', 'Three years, all expenses paid.', 'January first.', ""It'd be even more exciting if we were going."", 'Tell her, David.', ""'I don't wanna go to Minsk and work with Lifson and Yamaguchi and Flench, on nonononononono."", ""I wanna stay here and make out with my girlfriend!!'"", 'Yoko.', ""It won't be the same""]",21,124
225,Pete,"['Yeah, a slice of cheesecake and', 'Hmm, come on, you just said to her that you', 'Well, if that were true, I', 'Ho', 'Okay, that', 'Uh, absolutely, yeah, sEnd her in.', 'Hang on a second.', 'Well, y', 'Come on, you gotta admit that our relationship is ah, is hitting a new level now.', 'Look, forget the check, okay.', 'Why not?', 'One meal!', 'That', 'Hi.', 'Hey, you like pizza?', 'I know a great little place.', 'You', 'Ahh, I', 'That', ""...so y'know, that"", 'Yeah, it was.', 'What like Pete Dakota?', 'I got to go, so ah, I', 'Where are we?', 'Just tell me the truth.', 'Oh, yeah.', 'Wasn', 'Oh, yeah.', 'I know that.', 'But you', ""Y'know what, don"", 'I know I', 'Yeah, stupidly charming isn', 'Hi!', 'Wow!', 'Skates!', 'Well...', 'Yeah, sure, that', 'Ah, which ever is closest.', 'So ask me what I did today.', 'I bought a restaurant and I would like you to be the head chef.', 'So?', 'I mean have you thought about it?', 'Oh no, not the thing.', 'I hate the thing.', 'What', 'Wait, wait, wait, wait, that', 'No!', 'Look, I was gonna tell you this over dinner, but I met somebody else.', 'On my trip.', 'Her name', 'I guess you can.', 'All right.', 'Yeah, sure.', 'Good luck!', 'What?', 'Why would you say that?', 'You', 'Listen, can you promise me that you won', 'Thanks a lot.', 'So you like it?', 'Oh, you', 'Nooo.', 'Uh', 'What?', 'Now, nooo!', 'I', 'Okay, I love you.', 'Is that so bad?', 'Look, the only who stands to get hurt is me.', 'And I', 'What?', 'Okay, yeah.', 'I mean...', 'If that', 'I', 'Well ah, the short version is, I ah pursued her for a couple of months, then I gave her a check for 20,000 dollars, and she was mine.', 'Monica?', ""Hey Monica, how's it going."", ""Well don't forget that fiches over there by Rachel."", 'I see him, you guys are just the worst hiders ever.', ""Oh, it's good news."", ""No, it's definitely good news."", 'Hold on a second, I have another call.', ""Ah, no it's not."", ""I've got picture"", 'Okay, I love you.', 'Lights.', 'So ah, there was this thing I wanted to talk to you about.', 'Well ah, I', 'And I feel like I', 'There', 'It', 'Monica, I want to become', 'I want to become the Ultimate Fighting Champion!', 'It', 'Okay, my trainer, Ho Chi, is teaching me a combination of Gee Koon Doe and Brazilian street fighting, I', 'Yeah.', 'Monica, I want you there in the front row when I win.', 'I want you close enough to smell the blood.', 'What do you think?', 'I told you, we', 'Monica!', 'Oh, believe me, I don', 'I promise.', 'Yeah.', 'Don', 'Uh', 'It would be nice after hearing 20,000 people chant', 'What, look back?', 'Well let me ask you a question.', 'Am I the Ultimate Fighting Champion?', 'Well I', 'Let me tell you a story.', 'When I set out to create Moss 865, do you think it just happened overnight?', 'No.', 'There was Moss 1, that burnt down my Dad', 'Look, I', 'Oh, one other thing.', 'Hoshi thinks that you being ringside may have affected my concentration.', 'It', 'I', 'I can', ""Y'know I have a torn rotator cuff, a hairline fracture in my right forearm, and a severely bruised Adam"", 'Well if you', 'Mon', 'Could you leave a note?']",127,709
226,Estelle,"['Joey, sweetheart, you were fabulous!', 'How do you do.', 'Ooh, what a shame!', 'Because with her face', 'Well!', 'Well!', 'Well!', 'Joey Tribbiani!', 'So you came back huh?', 'They', 'Really?', '!', 'Oh well, no harm, no foul.', 'All right, first thing we gotta do, damage control.', 'Well, I think uhh, someone out there may have been bad mouthing you all over town.', 'The thing is it', 'Uh', 'Joey!', 'It', 'Well, I sold four of them on', 'Yeah, what time do you wanna pick me up?']",21,111
227,Croupler,"['Coming in, we got a shooter!', 'Money please.', 'Eight!', 'Easy eight.']",4,16
228,Hooker,"['Uh, no.', 'But I could pretend to strip, but that', 'Do you mind if I smoke in here?', 'What', 'Oh God!', 'Listen, I am this close to robbing you guys.']",6,37
229,Zack,"['Thanks.', 'Thanks!', 'Do you have a coaster?', ""I don't wanna make a ring."", 'Oh!', ""I'm gonna go wash up first."", 'You guys have such a great place here.', 'Uhm... no.', 'Although I', ""You guys don't have people for dinner a lot, huh?"", 'Ok.', 'I heard a joke today.', ""It's pretty funny..."", ""Ok listen, you guys have shown a lot of interest in me tonight and I'm flattered and... and quite frankly a little frightened."", 'Can we just talk about something else?', ""Ravioli's delicious!"", ""No I didn't."", ""I'm gonna take off now."", ""You're gonna let me go home, aren't you?"", ""No, no, I should get home, I'm kinda tired."", ""No it's just tiring having to figure out the age at which all my grandparents died."", ""I'll see you tomorrow."", ""No you didn't."", 'No you did.', 'Oh, thank you.']",25,188
230,Nancy,"[""She is kidding, but don't ever disagree with her again."", ""Okay, now I'm kidding!"", 'Oh, sorry!', ""So anyway I sent the designs over to Ralph and he's very excited about the line."", ""I thought you didn't smoke."", 'Absolutely!', ""I've actually been thinking about quitting lately."", 'Tell me about it!', 'Oh, I never could do it.', 'Rachel we tried to quit, but it was too hard!']",10,85
231,Salesman,"['Hello, Sir.', ""You're here to return those pants?"", 'Oh.', 'Okay!', 'How can I help you?', 'Two days before Christmas?', 'Sorry, man.']",7,31
232,Jasmine,"['Fine.', 'Uh', 'You did a bad thing!', 'Very bad!', 'Very, very bad.', 'No.', 'All right.', 'But you should probably talk to my roommate, because I told him and he knows Phoebe too.']",8,41
233,Roger,"[""That's pretty much it."", 'But you tell it really well, sweetie.', 'Okay.', ""I'll miss you."", 'Did I, uh, did I miss something?', ""You're so funny!"", ""He's really funny!"", ""I wouldn't wanna be there when when the laughter stops."", 'Oh, just seems as though that maybe you have intimacy issues.', ""Y'know, that you use your humour as a way of keeping people at a distance."", 'I mean hey!', ""I just met you, I don't know you from Adam."", '...Only child, right?', 'Parents divorced before you hit puberty.', ""It's textbook."", 'Hi.', 'You too, sir.', 'I dunno.', 'Maybe you wanted your marriage to fail.', ""I don't know."", 'Maybe maybe low self', ""Well, I don't know."", ""I mean, it's conceivable that you wanted to sabotage your marriage so that the sibling would feel less of a failure in the eyes of the parents."", ""That's tough."", 'Tough stuff.', ""C'mon, Pheebs, we're gonna catch that movie, we gotta get going."", ""Geez, we're gonna be late, sweetie..."", 'Listen guys, it was great seeing you again.', 'Mon, um, easy on those cookies, okay?', ""Remember, they're just food, they're not love."", ""What's wrong, sweetie?"", ""Aaaah, what's wrong, c'mon."", 'Oh.', ""They don't."", 'What?', 'Oh.', ""Well, I'm not I'm not at all surprised they feel that way."", ""Actually it's, it's quite, y'know, typical behaviour when you have this kind of dysfunctional group dynamic."", ""Y'know, this kind of co""]",39,320
234,Hayley,"['so it was kind of a shock after 25 years of marriage my parents,   a perfect couple getting divorced, I kinda took it the hardest cause I was   the youngest.']",1,33
235,Morse,"['Yes sir.', 'What', 'That', 'Well maybe you can cut me some slack.', 'I', 'I', 'You see, that', 'What?!', 'Why?', 'I']",11,26
236,Marjorie,"['Hi.', 'No, please.', 'I talk in my sleep.']",3,12
237,Don,"['Oh, hello.', 'Well, we just had a terrible lunch today at Reattica.', 'What is with all the sun', 'That', 'Well, Octavio, 27', 'You', 'Your food is fantastic!', 'Wow, I really want to talk to you about your menu, once I get some coffees first.', 'Um, anyone want any?', 'Excuse me?', 'Uh, not really.', 'But when it comes to cheese, I', 'And you', 'Well if you where ever enter the Loire valley let me know, I', 'No.', 'But God, a house made of cheese, wouldn']",16,104
238,Cashier,"['Do you uh, want these things delivered Mr. and Mrs. Geller?', 'Why don', 'I notice you picked out a lot of our dinosaur items.', 'Really?!', 'That is so cool!', 'Oh no', 'I can tell you work out.']",8,44
239,Amanda,"['Hi Ben!', 'Thanks!', 'I am so glad that you could come over tonight.', 'Okay, well, my cell phone number is right here on the counter, please help yourself to anything in the fridge.', ""I appreciate this soo much, I've been trying to go out with this guy for like a month.""]",5,61
240,Alan,"['Hi.', ""I've heard schho much about all you guyschh!"", 'Wow.', ""Yeah, I'm sorry too."", 'But, I gotta tell you, I am a little relieved.', 'Yeah, well, I had a great time with you..', ""I just can't stand your friends.""]",7,55
241,Richard,"['Hi!', 'So, you look great.', 'No you do.', 'You... just...', 'You', 'It', 'He', 'I missed this.', 'So, you wanna get a hamburger or something?', 'Oh.', 'Look, just friends, I won', 'No it', 'So when people complement me on my cooking should I, what do I say?', 'Ew, this feels very weird.', 'Yeah, well, sure I touch them, but I spent years learning not to squish them.', 'Okay.', 'Tomatoes are squishing.', 'Op.', 'Yeah.', 'What?', 'I', 'You really sure?', 'Absolutely, this will just be something we do, like racquetball.', 'Just your dad.', 'You want me to cancel it?', 'Okay.', 'Exactly.', 'Hello.', 'Ah well, this is the living room.', 'All right.', 'This is the kitchen.', 'The bedroom.', 'Well it', 'Um', 'Oh shoot!', 'Maybe next time.', 'Oh,', 'Well, you seem fine.', 'You mean like exclusive friends?', 'Wow.', ""Y'know we"", 'Okay, okay, one thing', 'I know I couldn', 'You too, you let uh, your hair grow long.', 'Well, my nose got lonely.', 'Oh, I', 'Oh.', 'Good to see you guys.', 'That might be fun.', 'And', 'It', 'Hi!', 'Actually, I', 'Well, it was great seeing you the other night.', 'No!', 'I came here to tell you something else.', 'I still love you.', 'And I know I probably shouldn', 'Well yeah, I', 'I know this is crazy but am I too late?', 'Well I know I was an idiot!', 'And I tried to forget you, I really did!', 'Y', 'Working with blind kids.', 'Okay that', 'You are?', 'Why?', 'Hi.', 'I didn', 'Oh, okay.', 'Well, I', 'Uh, no!', 'No!', 'That', 'So Monica let me ask you a question.', 'Y', 'Oh really?', 'Who is it?', 'Yeah he', 'Ahh.', 'Excuse me?', 'Oh.', 'Yeah!', 'You', 'I think that', 'It', 'I know.', 'Yeah, I understand.', 'Take as much time as you want.', 'Chandler.', 'She', 'Okay, she was here, but she left.', 'Well she said she had to think things over.', 'Oh, hey look nothing happened.', 'Well all right, one thing happened?', 'Well I', 'Well, apparently I', 'Well if it helps, it worked very well.', 'You were gonna propose?', 'No I don', 'I know.', 'Nice to meet you Joey.', 'No I didn', 'I think I lost.', 'Three times.', 'Yeah, sure.', 'Forget the platoon!', 'The platoon is gone!', 'No, we still have food in the basement!', 'I saw potatoes and some dry pasta!', 'We may not have any weapons, but we still have food.', 'In the basement I saw potatoes and some dry pasta, and a few tins of tuna!', 'Hey Joey, could you uh, go through these lines with me?', 'Just the last two pages.', 'I found the picture!', 'Could you uh, could you lower your script?', 'I need to see your face so I can uh, play off your reaction.', 'Oh, thanks.', 'Well of course I am!', 'That', 'Great!', 'I found the picture!', 'The picture of my wife!', 'In your pack!', 'Why do have a picture of Paulette in your pack?', '!', 'Oh you', 'I', 'No!', 'All right.', 'That can be arranged.', 'Of course!', 'I', 'Now, that can be arranged!', 'You wouldn', 'Well have we finished the scene?', 'As were you.', 'Why?', 'Are we done for the day?', 'Oh, thank you.', 'You', 'Is that my ass?']",142,674
242,Dina,"['I', 'What are you going to do?', 'Kill him?', 'Like you did with Charles?', '!', 'Well, at least I', 'Loosening the saddle on mother', 'I can', 'Who are you?', '!', 'Hi.', 'Thanks so much for meetin', 'I', 'I', 'Thank you.', 'Joe, mom and dad are fine', 'I', 'Joe, I tried to wait until I was 25 like you did!', 'Bobby Corso, but he', 'Why?', 'Where are you going?', 'Wow.', 'Do you ever worry that you', 'Oh my God!', 'Bobby!', 'No!', 'No I won', 'Yes I do!', 'No Joey!', 'I knew you wouldn', 'Excuse me?', 'Joey, I am scared to death about this.', 'But I really think I can do it, I', 'Look, Rachel', 'And you', 'Joey, I can', 'We']",37,144
243,Janitor,[],0,0
244,Missy,"['Hey guys!', 'No way!', 'Right.', ""I'll be there."", ""I'd love to!"", 'So how come it took you so long to ask me out?', 'Sure, he was in your', 'Sorry.', 'Really?', 'Well, Chandler and I used to make out!', 'A lot!', 'Yeah.', ""We'd go to the science lab after hours!""]",13,66
245,Host,"['Welcome everybody, welcome to Amazing Discoveries!', 'Folks, has this ever happened to you.', 'You go to the refrigerator to get a nice glass of milk,', 'This is contestant number sixteen, Rebecca...']",4,38
246,Jen,"['Sure!', 'That would be nice.', 'Oh!', 'My number is on there.', ""I'll see you later."", 'I forgot my paper.', ""Sure, I'll just get my coat.""]",7,35
247,Steve,"['Hello, Monica.', ""It's a lovely apartment."", 'I was just being polite, but, alright.', 'Well, smack my ass and call me Judy!', 'These are fantastic!', ""Like 'em?"", 'I could eat a hundred of them!', 'Tartlets.', 'Tartlets.', 'Tartlets.', 'The word has lost all meaning.', ""You know, I don't know what I'm looking for."", 'Macaroni and cheese!', 'We gotta make this!', 'Oh, OK.', ""Alright, we'll share."", ""Well then you can't have any."", 'What?', 'Why?', 'Eeeee!', 'Aaaaah!', 'No.', 'Oh hi Phoebe.', 'I came to talk to you about Howard.', ""Yeah, he's the handy man."", ""He's gonna be retiring next week and everyone who lives here is kicking in a 100 bucks as a thank you for all the hard work type of thing."", 'Yeah.', 'So, do you want to give a check?', 'Or', ""Oh look, you don't have to give it too me right now!"", 'You can slip it under my door.', ""Well, the guy's worked here for 25 years."", 'Oh, okay, I get it.', ""Howard's the"", 'Okay, fine, whatever.', 'Welcome to the building.', 'Oh hey, Ross.', ""Umm, see, I was thinking maybe you two could switch apartments because Phoebe's more our kind of people."", 'Something to think about.', '3', 'Okay, you got your free food!', ""You ruined everyone's fun!"", ""Don't you think it's time you went home?"", '!', 'Go back to 3', ""I'm kind of funny looking."", ""Oh, come on, you're way out of my league."", 'Everybody in here knows       it.', ""Bet that guy over there's probably saying,"", ""I'm not funny either."", 'So, if you were thinking,', 'I lost it.', 'To drugs.', 'I silk', ""It's really fulfilling doing something you hate for no money."", ""That's       right."", ""I have no money, I'm not funny, I live in a studio apartment with       two other guys, and I'm pretty sure I'm infertile."", 'I do like my hair.', 'Really?', 'Look, I think I know the answer to this question, but... Would you       like to make love to me?', ""Eh, it's just as well."", ""Doesn't work anyway."", 'I have such fat hands!']",63,447
248,Both,"['Hey, buddy.', 'Three!', 'Yeah']",3,7
249,Erica,"['Thank you.', ""It's really nice to meet you guys, I can't believe I'm here!"", 'I wanna see everything!', 'Times Square, Coney Island, Rockefeller Center...', ""Oh yeah, let's do that!"", 'Thanks so much for taking me to all those places.', 'I had a great time.', 'Thanks so much for showing me around.', 'Well, if there is anything else you wanna know...', 'Oh, sure.', 'Yeah, well, he was my high school boyfriend.', 'Captain of the football team, really cute and he got a scholarship and went off to college.', ""Yeah... it's almost definitely him."", ""Well, there is a chance it's another guy."", 'I mean, I have only ever been with two guys, but they sorta overlapped.', ""No, he's in prison."", 'No... he killed his father with a shovel.', 'No!', ""Well, it turns out that Erica didn't pay much attention in Sex Ed class, because the thing she did with that prison guy... it'd be pretty hard to make a baby that way."", 'I know.', ""No, I don't mind you touching my belly, but right now your hand is kind of blocking the part where the baby is gonna come out."", 'Hi.', ""That's because I'm pregnant!"", 'Oh, ok.', ""I'm just always afraid that people think I'm just fat with big breasts."", ""Hey, well, in a couple of weeks I won't be able to travel."", 'Plus hotels are fun!', 'My room has this little fridge full of free snacks!', 'Hi!', 'Oh, it was okay.', 'I went to a movie with my cousin and then out for dinner.', 'We went to this place that had... Ooh...', 'Yeah, you know, maybe I ate too much.', 'I keep getting these stomach aches.', 'They come and go like every few minutes.', 'You can do this.', 'Just breathe.', 'Yeah, you know, maybe I ate too much.', 'I keep getting these    stomach', ""No, I'm okay."", ""I don't know."", 'Maybe church', 'What?', 'Help me!', 'This hurts!', 'Uh', 'Is he okay?', ""I'm really happy for you guys."", ""I'm tired!"", ""I don't think so."", 'Although, they did mention something about    two heartbeats.', ""But I thought that was just mine and the baby's."", ""They    kept saying both heartbeats are really strong, and I thought well,    that's good 'cause I'm having a baby."", 'Twins actually run in my family.', 'Ow!', ""Oh my God, that's just like my name!"", ""Anyway, I'm gonna go and get some rest."", ""I'm really glad I    picked you guys."", ""You're gonna make great parents."", 'Even Chandler.', 'Bye!', 'Okay.']",62,533
250,Allesandro,"['It', 'I want to talk to you about your review.', 'Why?', 'So you could hang up on me?', 'Just give me a chance too', 'Well our service is not grossly incompetent.', 'Well, you said that we except the', 'Hey!', 'I', 'How long is this gonna take?', 'I']",11,55
251,Lisa,[],0,0
252,Sergei,"['Uh,', 'Plate.', 'Plate.', 'Plate.', 'Ameri']",5,9
253,Cailin,"['I', 'So.', 'How', 'Ross, I', 'I don', 'Good bye Ross.']",6,13
254,Supervisor,"['So basically this is very easy.', 'You read from the script and try to sell as much toner as you possibly can.', 'I', 'We don', 'Okay, what was wrong with that call?', 'They', 'So, I think you']",7,42
255,Ronni,"[""Oh, no thanks, I'm just waiting for, uh, Joey Tribbiani."", 'Oh no, not you, big Joey.', ""Oh my God, you're so much cuter than your pictures!"", ""Now, y'see, most people, when their pets pass on, they want 'em sorta laid out like they're sleeping."", 'But occasionally you get your person who wants them in a pose.', 'Like, chasing their tail,', ""That's a good one!"", 'Hi.', ""Oh, uh, well, you left your good hair at my apartment, I figured you'd need it tomorrow for your meeting."", ""Look, I uh, I shouldn'ta come."", 'I', ""Oh, where'm I gonna stay, here?"", ""No we won't."", 'Wow.', ""He's strict."", 'Thanks.', ""You're, uh, you're a good kid."", 'Hi.', ""Yeah, uh, Joey said I could use your shower, since, uh, Chandler's in ours?"", ""Oh, I'm Ronni."", 'Ronni Rappelano?', 'The mistress?', 'Thanks.', 'Hi.', 'Great.', 'Oh, like, uh, five minutes?']",26,210
256,Precious,"[""Hi, I'm Precious, who are you?"", 'Phoebe?', ""Mike's ex"", ""I'm not letting you leave until you tell me what's   going on here."", 'I mean, are you guys getting back together or something?', 'My name is Precious.', ""I just can't believe this... Why?"", 'Oh, why would he do this?', ""I mean, what's wrong   with me?"", 'I mean, what the hell am I supposed to do now?', ""I just can't believe that Mike didn't give me any   warning."", 'He proposed to you?', 'This is the worst birthday', ""Oh, my God, maybe you're right."", ""Maybe I don't need   him."", 'I deserve to be treated with respect.', 'Screw you, Mike.', ""You're a coward and a bastard,   and I hope you rot in hell.""]",18,157
257,Cop,"['Oh, I know a guy in homicide up there.', 'Who', 'Sipowicz?', ""No, I don't think so."", ""No, I don't know him."", ""Wow umm, tell Sipowicz I'm real sorry for his loss."", ""Yeah, but I kinda don't have a choice, it's my job."", 'I mean, you understand right?', ""I don't like looking foolish."", ""Y'know what?"", ""Maybe uh, I don't arrest you today."", ""Maybe I came by and you weren't here."", ""Okay, so since umm, you're not going to jail tonight I was wondering if you would like to go to dinner with me?"", 'Yeah.', ""Ever since you flashed my badge at me, I kinda can't stop thinking about you."", ""You're the prettiest, fake undercover whore I've ever seen."", 'Yeah.', 'I mean, I coulda done it better, but these people keep staring at me.', 'Gary.']",19,177
258,Gunther,"['Yeah, we', 'Oh, like you don', 'Rachel has those in burgendy.', 'Rachel?', 'Do you remember when you first came here, how you spent two weeks getting trained by another waitress?', '...and after you', 'What if you put them here.', 'They already do.', 'That', 'It', 'And when you have a second later, I wanna show you why we don', 'Rachel?', 'Remind me to review with you which pot is decaf and which is regular.', 'You would think.', 'What?', '!', 'Let it be me!', 'Let it be me!', 'Someone in here.', 'I', 'Okay, but only if you give me a drag.', 'Oh dark mother, once again I suckle at your smokey tit.', 'Here you go.', 'I dropped a cup.', 'Are you all right?', 'Sorry.', 'She thought you were somebody else.', 'Rachel?', ""When's your birthday?"", 'Oh, I', 'Yeah, whatever.', 'I like it.', 'What?', 'Rachel?', ""I don't know if you heard about what happened between me and Phoebe the other day_"", 'Well, we kissed.', 'I', 'So umm, are we cool?', ""I knew you'd understand."", 'So you guys want coffees?', 'Rachel is my girlfriend.', 'Good one.', 'You don', 'I', 'I', 'What', 'Oh, Ross?', 'Ross!', ""You can't put up flyers in here."", ""You can't."", ""I'll take it all."", ""But then I'd have to go all the way around the dry cleaner place."", ""Here's your scone."", 'Here you go.', 'Thanks Rachel.', 'And', 'So I understand you', 'Oh, I was going to offer you my apartment.', 'I don', 'Yeah, that', 'Well, if you want, you can work here.', 'Okay, but the money', 'Flexible hours.', 'Yeah, that', 'Don', 'No, I', 'That', 'Okay, I', 'Okay.', 'He can have his job back.', 'Okay, here are the tips for this morning.', 'Jen gets 50, 50 for me, and Joey owes eight dollars.', 'For all the free food you gave away.', 'We don', 'No!', 'You', 'You', 'You are no longer authorized to distribute birthday muffins.', 'Well, I wouldn', 'What did I tell you about talking to your friends while you', 'That guy', 'Hey!', 'Take these cappuccinos to table 11 and that guy over there', 'Do you still work here?', 'Oh that', 'Oh umm, uh we don', 'No.', 'No, I haven', 'He', 'I wasn', 'Really?', 'Diapers huh?', 'So I guess Rachel had you baby?', 'Nope!', 'No.', 'Six?', 'You want me to join you?', 'Rachel?', 'I...', ""I know you're leaving tonight, but I just have to tell   you."", 'I love you.', 'I...', ""I don't know if that changes your plans at all, but I   thought you should know.""]",103,518
259,SCENE,"[""Chandler and Monica's apartment""]",1,5
260,Henrietta,['Uvula!'],1,2
261,Barry,"[""C'mon in."", 'Yeah!', ""It's fine, it's fine."", ""Robbie's gonna be here for hours."", 'So, how ya doin?', 'Yeah, well..', 'Sorry about that.', 'So.', 'What have you been up to?', ""Oh, that's great."", 'Oh, I, uh', 'No.', 'I went with, uh.. Now, this may hurt.', 'No!', ""Yeah, well, uh, we're kind of a thing now."", 'Careful!', ""They haven't quite taken yet."", 'Not for her.', 'Listen, I really wanted to thank you.', 'See, about a month ago, I wanted to hurt you.', ""More than I've ever wanted to hurt anyone in my life."", ""And I'm an orthodontist."", 'You know, you were right?', 'I mean, I thought we were happy.', ""We weren't happy."", ""But with Mindy, now I'm happy."", 'Spit.', 'Well, thank you for giving it back.', 'Yeah.', ""Nooo, it wasn't."", ""What's the matter?"", 'No, it was.', 'It was very very good.', 'Oh, way, way better than Mindy.', ""Well, if you want, I'll just"", 'We can, we can go to Aruba!', 'When I went there on what would have been our honeymoon, it was, uh... it was really nice.', ""You would've liked it."", ""All right Miss Green, everything looks fine... Yep, I think we're starting to see some real progress here."", 'Sure, sure.', 'Come on...', ""Uh... uh... what're'you... what're'you guys doing here?"", 'Both of you?', ""I'm sorry..."", ""I'm sorry, God, I am so sorry, I'm an idiot, I was weak, I couldn't help myself!"", 'Whatever I did, I only did because I love you so much!', '....Mindy.', 'Mindy, of course Mindy, it was always Mindy.', 'Oh God...', 'You']",50,367
262,Tag,"['That', 'I know I haven', 'It', 'I just wanted to come by and thank you for not laughing in my face yesterday.', 'And I noticed there aren', 'Right.', 'So I guess I shouldn', 'Anyway, I', 'Gotcha.', 'Thanks again for meeting with me.', 'What?', 'I am?', '!', 'I can', 'Rachel Green', 'Hi!', 'Rachel Green', 'Phoebe!', 'That', 'Do you have a minute?', 'I got asked out twice today when I was at lunch', 'Yeah.', 'Did you tell someone that I was gay?', 'But I', 'I don', 'Okay.', 'Well', 'I', 'I just did them.', 'What?', 'Yeah, I filled them out last night?', 'Good morning.', 'Oh yeah!', 'We went to the Knicks game.', 'Then we went to this bar and he hooked us up with all these women!', 'Well kinda old, like 30.', 'And I never used to be able to just talk to girls in bars, but I got like 20 phone numbers last night.', 'A little.', 'Hey Joey, you wanted to talk to me?', 'Oh, yeah, this is from Rachel.', 'Really?', 'Good morning Rachel.', 'Went out with Joey.', 'No.', 'We had a really good talk.', 'I don', 'It', 'When I', 'Someone I can spoil, y', 'Uh', 'Do you believe that there is one perfect person for everyone?', 'And if that person is already in your life, you should do something about it right?', 'All right then, it', 'I', 'What?', 'I, uh, wanted to see if your offer to spend Thanksgiving with you is still good.', 'We kinda broke up this morning.', 'Yeah, so she went back to Ohio.', ""You don't like puppies?"", 'Hey.', 'Not bad.', 'Thanks.', 'A year.', 'On and off.', ""I kinda thought we'd end up together."", ""I don't anymore."", 'Yeah.', ""It's weird."", 'I always used to assume, that I would meet someone and fall in love and be happy and all that was just a given.', ""But lately it's like what if it's not."", 'Do you ever have that feeling?', 'Why?', ""You have all the answers, don't you?"", 'Hey, thanks for talking to me.', 'What?', 'What did Joey say?', 'I like you back?', 'Wait', 'Wow.', 'Right there!', ""That's my car!"", ""I can't believe this!"", ""I'm okay."", 'I gotta go down to the police station and look at mug shots.', 'Thanks for having me over, you guys.', 'Colorado.', 'Okay.', ""Um, I'm not."", ""No, you didn't."", 'The only thing that freaked me out was you saying that nothing could ever happen between us.', ""Yeah, so, please don't fire me for doing this."", 'Yes, at 4', 'I', 'My what?', 'Are you serious?', 'No!', 'It was marked confidential I just sent it down to Human Resources.', 'A joke they would appreciate?', 'What did you say?', '!', 'No, not my touchie.', 'That', 'Got it!', 'No, don', 'Are you kidding me?!', 'With a cute butt like this, I', 'Y', 'I feel great.', 'Oh, I', 'Hey, I wonder if you can see my apartment from up here.', 'What?', 'Sure.', 'If this is your idea of sexy talk?', 'What contracts?', 'Like what?', 'Rach, I', 'I', 'No, I would see you looking embarrassed because they are', 'You wanna go down to the office right now?', 'Okay I understand.', 'Okay!', 'Feel free to look, but I', 'It', 'So when do you imagine you gave them to me?', 'In the morning or in the afternoon?', 'It', 'How could I have left them in the copy room?', 'Fine.', 'Still no luck.', 'Do you want me to check again?', 'Well, it', 'I did not!', 'How did you know they were in my bottom drawer?', 'Ms. Green would like to establish some ground rules before she comes out.', 'She would appreciate it if you don', 'Come on, let', 'Look Rachel, I know what you', 'Why?', 'What you', 'It wasn', 'Hey.', 'How are you doing?', 'Are you feeling any better?', 'Okay.', 'What', 'Wait!', 'I think I see where you', 'Rachel, don', 'Twenty', 'Me too.', 'Hey Rach.', 'So, what', 'No.', 'What', 'Y', 'It is the right time.', 'I', 'Come on Rach, let', 'Oh.', 'Thank you.', 'Good!', 'Good, long time no see.', 'Like your sweater.', 'Oh, it', 'So whose is it?', 'Okay.']",167,841
263,Whitney,"['Hi Ross!', 'You ready for breakfast?', 'Sure.', 'We kinda need to talk.', 'Well, I went over to Kyle', 'I', 'I do know.', 'We']",8,29
264,Jeannine,"[""Well, if you don't, I will."", 'Night Mon.', 'Night Julio.']",3,16
265,Hope,['Oh Drake.'],1,3
266,Lowell,"['I know.', ""That's what I told her."", 'Yeah.', 'Pretty much, most of the time.', 'We have a kind of... radar.', ""Speaking for my people, I'd have to say no."", 'By the way, your friend Brian from Payroll, he is.', 'Yup, and waaay out of your league.']",8,62
267,Kara,"['Nice to meet you Monica.', 'Bing!', 'Oww!', '!', 'So how do you kids like your coffee?']",5,20
